original_title,popularity,revenue,release_date,runtime,vote_average,vote_count,budget,genres
Blue Velvet,7.882247,8551228.0,1986.6666666666667,120.0,7.7,758.0,6000000.0,"['Crime', 'Drama', 'Mystery', 'Thriller']"
The Jungle Book,22.845448,205843612.0,1967.8333333333333,78.0,7.1,1791.0,4000000.0,"['Family', 'Animation', 'Adventure']"
The Little Mermaid,17.496832,222300000.0,1989.9166666666667,83.0,7.2,1921.0,40000000.0,"['Animation', 'Family']"
One Hundred and One Dalmatians,15.727519,215880014.0,1961.0833333333333,79.0,6.8,1643.0,4000000.0,"['Adventure', 'Animation', 'Comedy', 'Family']"
Peter Pan,16.861533,87404651.0,1953.1666666666667,77.0,7.0,1380.0,4000000.0,"['Animation', 'Music', 'Family', 'Adventure', 'Fantasy']"
The Rescuers Down Under,1.562471,47431461.0,1990.9166666666667,77.0,6.6,303.0,37931000.0,"['Adventure', 'Animation', 'Crime', 'Family', 'Fantasy']"
The Rescuers,11.32442,71215869.0,1977.5,78.0,6.7,609.0,1200000.0,"['Fantasy', 'Family', 'Animation', 'Adventure']"
Return to Oz,6.523262,11137801.0,1985.5,109.0,6.6,122.0,25000000.0,"['Adventure', 'Family', 'Fantasy']"
Sleeping Beauty,14.276169,51000000.0,1959.0833333333333,75.0,6.8,1332.0,6000000.0,"['Fantasy', 'Animation', 'Romance', 'Family']"
Something Wicked This Way Comes,3.985819,5656087.0,1983.3333333333333,95.0,6.6,38.0,19000000.0,"['Fantasy', 'Mystery', 'Thriller']"
Steamboat Willie,3.394625,0.0,1928.9166666666667,8.0,7.4,76.0,4986.0,['Animation']
Tall Tale,1.283015,0.0,1995.25,98.0,6.6,15.0,32000000.0,['Adventure']
Tron,16.574021,33000000.0,1982.5833333333333,96.0,6.6,717.0,17000000.0,"['Science Fiction', 'Action', 'Adventure']"
The Outsiders,6.435926,33697647.0,1983.25,91.0,6.9,293.0,10000000.0,"['Crime', 'Drama']"
Indiana Jones and the Temple of Doom,15.802306,333000000.0,1984.4166666666667,118.0,7.1,2841.0,28000000.0,"['Adventure', 'Action']"
The Dead Zone,11.194448,20766616.0,1983.8333333333333,103.0,6.9,320.0,10000000.0,"['Horror', 'Science Fiction', 'Thriller']"
The Addams Family,12.962525,191502426.0,1991.9166666666667,99.0,6.7,871.0,30000000.0,"['Horror', 'Comedy', 'Fantasy']"
EverAfter,13.309701,65705772.0,1998.5833333333333,121.0,6.8,408.0,26000000.0,"['Drama', 'Romance', 'Comedy']"
Atlantic City,3.835188,12729678.0,1980.75,104.0,6.7,58.0,7200000.0,"['Crime', 'Drama', 'Romance']"
Who's Afraid of Virginia Woolf?,5.564294,33736689.0,1966.5,131.0,7.8,199.0,7500000.0,['Drama']
Watership Down,5.602126,3713768.0,1978.8333333333333,88.0,7.3,159.0,1000000.0,"['Adventure', 'Animation', 'Drama']"
The Secret of NIMH,10.812275,14665733.0,1982.5,82.0,7.5,186.0,7000000.0,"['Fantasy', 'Animation', 'Drama', 'Family']"
The Dark Crystal,13.524001,40577001.0,1983.0,93.0,7.3,233.0,15000000.0,['Fantasy']
An American Tail,11.928545,84542002.0,1986.9166666666667,80.0,6.6,344.0,9000000.0,"['Drama', 'Family', 'Animation', 'Adventure']"
Sixteen Candles,6.683723,23686027.0,1984.4166666666667,93.0,6.9,455.0,6500000.0,"['Comedy', 'Romance']"
The Gods Must Be Crazy,10.973482,60000000.0,1980.75,109.0,7.1,251.0,5000000.0,"['Action', 'Comedy']"
Henry: Portrait of a Serial Killer,10.072668,0.0,1986.75,83.0,6.8,142.0,111000.0,"['Crime', 'Drama', 'Horror', 'Thriller']"
Rosemary's Baby,11.504558,33395426.0,1968.5,136.0,7.5,892.0,3200000.0,"['Horror', 'Drama', 'Mystery']"
The Neverending Story,14.225919,20158808.0,1984.3333333333333,102.0,7.0,1031.0,27000000.0,"['Drama', 'Family', 'Fantasy', 'Adventure']"
Beetlejuice,10.627364,73326666.0,1988.1666666666667,92.0,7.1,1475.0,15000000.0,"['Fantasy', 'Comedy']"
Rope,7.248676,2200000.0,1948.6666666666667,80.0,7.8,539.0,1500000.0,"['Crime', 'Drama', 'Mystery', 'Thriller']"
Family Plot,4.845776,7900000.0,1976.3333333333333,121.0,6.7,86.0,2000000.0,"['Comedy', 'Crime', 'Thriller']"
Frenzy,5.316387,12600000.0,1972.4166666666667,116.0,7.2,162.0,3500000.0,"['Crime', 'Drama', 'Mystery', 'Thriller']"
Marnie,6.409094,7000000.0,1964.5833333333333,130.0,7.2,233.0,2135161.0,"['Crime', 'Drama', 'Mystery', 'Thriller']"
The Wrong Man,8.56081,2000000.0,1957.0,105.0,6.9,105.0,1200000.0,"['Crime', 'Drama', 'Mystery']"
The Man Who Knew Too Much,12.547763,10250000.0,1956.5,120.0,7.3,276.0,2500000.0,"['Adventure', 'Crime', 'Drama', 'Mystery', 'Thriller']"
The Trouble with Harry,6.486117,7000000.0,1955.8333333333333,99.0,6.9,152.0,1200000.0,"['Comedy', 'Mystery', 'Thriller']"
Strangers on a Train,15.41773,7000000.0,1951.5,101.0,7.6,379.0,1200000.0,"['Crime', 'Drama', 'Thriller']"
I Married a Strange Person!,0.817002,203.0,1998.6666666666667,72.0,7.5,12.0,250.0,"['Drama', 'Comedy', 'Animation']"
Willow,9.918312,57269863.0,1988.4166666666667,126.0,6.9,484.0,35000000.0,"['Adventure', 'Drama', 'Action']"
The Untouchables,11.062203,76270454.0,1987.5,119.0,7.6,1424.0,25000000.0,"['Crime', 'Drama', 'History', 'Thriller']"
Lifeboat,7.773354,0.0,1944.0833333333333,96.0,7.3,112.0,1590000.0,"['Drama', 'War']"
Suspicion,5.660476,4500000.0,1941.9166666666667,99.0,7.1,140.0,1103000.0,"['Mystery', 'Thriller']"
The Lodger: A Story of the London Fog,9.299853,0.0,1927.1666666666667,99.0,7.2,49.0,12000.0,"['Crime', 'Drama', 'Thriller']"
Rounders,8.783454,22921898.0,1998.75,121.0,6.9,451.0,12000000.0,"['Drama', 'Crime']"
Cube,12.095263,501818.0,1997.75,90.0,6.9,1101.0,250000.0,"['Thriller', 'Science Fiction', 'Mystery']"
Broadcast News,8.627019,51249404.0,1988.0,133.0,6.8,101.0,20000000.0,"['Comedy', 'Drama', 'Romance']"
A Few Good Men,12.330249,243240178.0,1993.0,138.0,7.1,899.0,40000000.0,['Drama']
Rush Hour,11.840557,244386864.0,1998.75,98.0,6.8,1254.0,33000000.0,"['Action', 'Comedy', 'Crime', 'Thriller']"
Ronin,9.672094,41610884.0,1998.75,122.0,6.8,670.0,55000000.0,"['Action', 'Thriller', 'Crime', 'Adventure']"
Them!,9.222871,0.0,1954.5,94.0,6.8,111.0,23000000.0,"['Science Fiction', 'Mystery', 'Horror']"
The Thing,16.83125,19629760.0,1982.5,109.0,7.8,1629.0,15000000.0,"['Horror', 'Mystery', 'Science Fiction']"
The Player,6.230854,21706101.0,1992.3333333333333,124.0,6.9,169.0,8000000.0,"['Comedy', 'Drama']"
Stardust Memories,5.720538,10389003.0,1980.75,89.0,6.9,96.0,10000000.0,"['Comedy', 'Drama', 'Romance']"
Edward Scissorhands,17.612244,53000000.0,1991.0,105.0,7.5,3731.0,20000000.0,"['Fantasy', 'Drama', 'Romance']"
What Dreams May Come,11.218378,71485043.0,1998.8333333333333,113.0,6.8,596.0,85000000.0,"['Drama', 'Fantasy', 'Romance']"
The Producers,7.433784,0.0,1967.9166666666667,88.0,7.3,177.0,947000.0,['Comedy']
My Cousin Vinny,7.922216,64088552.0,1992.25,120.0,7.3,393.0,11000000.0,"['Comedy', 'Drama']"
Nashville,9.042678,0.0,1975.5,159.0,7.2,79.0,2200000.0,"['Drama', 'Music']"
Slam,0.555304,0.0,1998.8333333333333,100.0,6.7,7.0,1.0,['Drama']
2010.0,7.482865,40400657.0,1985.0,116.0,6.6,290.0,28000000.0,"['Thriller', 'Science Fiction']"
The Elephant Man,8.405672,26010864.0,1980.8333333333333,124.0,7.9,740.0,5000000.0,"['Drama', 'History']"
Happiness,5.493697,2807390.0,1998.8333333333333,139.0,7.4,197.0,3000000.0,"['Comedy', 'Drama']"
La vita è bella,39.39497,229400000.0,1998.0,116.0,8.3,3643.0,20000000.0,"['Comedy', 'Drama']"
American History X,18.157166,23875127.0,1998.8333333333333,119.0,8.2,3120.0,20000000.0,['Drama']
Gods and Monsters,6.788021,6451628.0,1998.0833333333333,105.0,6.8,82.0,10000000.0,['Drama']
Elizabeth,7.566321,82150642.0,1998.75,124.0,7.2,346.0,30000000.0,"['Drama', 'History']"
Meet Joe Black,14.026744,142940100.0,1998.9166666666667,178.0,6.9,1174.0,90000000.0,"['Fantasy', 'Drama', 'Mystery']"
Runaway Train,15.236541,7936012.0,1985.9166666666667,111.0,7.0,129.0,9000000.0,"['Action', 'Thriller']"
Sid & Nancy,5.681582,2826523.0,1986.9166666666667,111.0,7.0,106.0,4000000.0,"['Drama', 'Music', 'Romance']"
Enemy of the State,12.978751,250649836.0,1998.9166666666667,132.0,6.7,1266.0,90000000.0,"['Action', 'Drama', 'Thriller']"
A Bug's Life,16.869209,363258859.0,1998.9166666666667,95.0,6.8,2379.0,120000000.0,"['Adventure', 'Animation', 'Comedy', 'Family']"
Central do Brasil,4.919716,5596708.0,1998.0833333333333,113.0,7.6,132.0,2900000.0,['Drama']
Savior,3.699017,0.0,1998.9166666666667,99.0,7.1,29.0,10000000.0,"['History', 'Drama', 'War']"
Festen,6.064954,0.0,1998.4166666666667,105.0,7.7,213.0,1300000.0,['Drama']
ゴジラ,13.153272,0.0,1954.9166666666667,96.0,6.9,194.0,1000000.0,"['Thriller', 'Horror', 'Science Fiction']"
Godzilla 1985,2.894009,4100000.0,1985.0,87.0,6.7,34.0,2000000.0,"['Action', 'Drama', 'Horror', 'Science Fiction', 'Thriller']"
King Kong,8.73274,10000000.0,1933.3333333333333,100.0,7.7,346.0,672000.0,"['Action', 'Adventure', 'Drama', 'Horror']"
Fletch,6.040486,59612888.0,1985.4166666666667,98.0,6.8,210.0,8000000.0,"['Comedy', 'Crime', 'Mystery']"
The Prince of Egypt,11.898185,218613188.0,1999.0,99.0,6.9,847.0,70000000.0,"['Adventure', 'Animation', 'Drama', 'Family', 'Music']"
Rushmore,5.997054,17096053.0,1998.75,93.0,7.5,688.0,9000000.0,"['Comedy', 'Drama']"
Shakespeare in Love,13.813155,289317794.0,1999.0,122.0,6.8,831.0,25000000.0,"['Romance', 'History']"
First Blood,14.778884,125212904.0,1982.8333333333333,93.0,7.2,1523.0,15000000.0,"['Action', 'Adventure', 'Thriller', 'War']"
Romancing the Stone,6.827193,86572238.0,1984.25,106.0,6.6,477.0,10000000.0,"['Action', 'Adventure', 'Comedy', 'Romance']"
Rocky II,11.789813,200182160.0,1979.5,119.0,6.9,948.0,7000000.0,['Drama']
Rocky III,11.673366,270000000.0,1982.4166666666667,99.0,6.6,894.0,17000000.0,['Drama']
Rocky IV,10.25721,300473716.0,1985.9166666666667,91.0,6.6,984.0,31000000.0,['Drama']
Clue,7.720009,14643997.0,1986.0,94.0,7.1,377.0,15000000.0,"['Comedy', 'Thriller', 'Crime', 'Mystery']"
Young Sherlock Holmes,5.203452,0.0,1986.0,109.0,6.7,172.0,18000000.0,"['Action', 'Adventure', 'Crime', 'Drama', 'Family', 'Mystery', 'Thriller']"
The Karate Kid,7.64499,90815558.0,1984.5,126.0,6.9,913.0,8000000.0,['Drama']
National Lampoon's Christmas Vacation,9.802574,71320000.0,1990.0,97.0,7.1,668.0,27000000.0,['Comedy']
The Thin Red Line,9.783966,98126565.0,1999.0,170.0,7.2,793.0,52000000.0,"['Drama', 'History', 'War']"
Mighty Joe Young,2.812461,0.0,1949.5833333333333,94.0,6.7,25.0,94.0,"['Adventure', 'Fantasy', 'Drama', 'Action', 'Science Fiction']"
Patch Adams,12.52181,202292902.0,1999.0,115.0,7.0,863.0,50000000.0,"['Comedy', 'Drama']"
Playing by Heart,3.010088,3970078.0,1999.0,121.0,6.6,49.0,20000000.0,['Drama']
The Fly,8.407369,3000000.0,1958.5833333333333,94.0,6.9,129.0,700000.0,"['Drama', 'Horror', 'Science Fiction']"
The Fly,13.534589,60629159.0,1986.6666666666667,96.0,7.1,1038.0,15000000.0,"['Horror', 'Science Fiction']"
The Texas Chain Saw Massacre,15.526413,30859000.0,1974.8333333333333,83.0,7.1,617.0,85000.0,['Horror']
The Name of the Rose,11.469751,77200000.0,1986.75,130.0,7.2,739.0,20000000.0,"['Drama', 'Thriller', 'Mystery']"
The Color of Money,11.613655,52293982.0,1986.8333333333333,119.0,6.7,297.0,13800000.0,['Drama']
Peeping Tom,7.229587,83957.0,1960.3333333333333,101.0,7.6,148.0,150000.0,"['Horror', 'Thriller']"
Payback,9.112008,161626121.0,1999.1666666666667,100.0,6.7,557.0,90000000.0,"['Drama', 'Action', 'Thriller', 'Crime']"
Office Space,12.329066,12827813.0,1999.1666666666667,89.0,7.4,1068.0,10000000.0,"['Comedy', 'Crime']"
House on Haunted Hill,5.738218,0.0,1959.1666666666667,75.0,6.9,102.0,200000.0,"['Drama', 'Horror', 'Thriller']"
The Towering Inferno,7.469056,116000000.0,1975.0,159.0,7.1,230.0,14000000.0,"['Action', 'Thriller']"
Logan's Run,6.842274,25000000.0,1976.5,119.0,6.6,272.0,9000000.0,"['Adventure', 'Action', 'Romance', 'Science Fiction']"
Planet of the Apes,17.784978,33395426.0,1968.1666666666667,112.0,7.5,958.0,5800000.0,"['Science Fiction', 'Adventure', 'Drama', 'Action']"
Cruel Intentions,8.181065,75902208.0,1999.25,97.0,6.6,848.0,10500000.0,"['Drama', 'Romance', 'Thriller']"
"Lock, Stock and Two Smoking Barrels",4.60786,3897569.0,1998.25,105.0,7.5,1671.0,1350000.0,"['Comedy', 'Crime']"
Dead Ringers,5.53202,8038508.0,1988.75,115.0,7.0,176.0,13000000.0,"['Drama', 'Horror', 'Thriller']"
Village of the Damned,6.39955,0.0,1960.9166666666667,77.0,7.1,92.0,200000.0,"['Horror', 'Science Fiction']"
Ravenous,5.486645,0.0,1999.25,100.0,6.8,144.0,12000000.0,"['Comedy', 'Horror', 'Thriller']"
The King and I,7.630723,21300000.0,1956.5,133.0,7.3,103.0,4550000.0,"['Drama', 'Music', 'Romance']"
The Matrix,33.366332,463517383.0,1999.25,136.0,7.9,9079.0,63000000.0,"['Action', 'Science Fiction']"
10 Things I Hate About You,12.069966,53478166.0,1999.25,97.0,7.3,1768.0,16000000.0,"['Comedy', 'Romance', 'Drama']"
La vie rêvée des anges,0.417705,0.0,1998.75,113.0,6.9,18.0,500000.0,"['Drama', 'Foreign']"
Following,5.283661,48482.0,1998.75,69.0,7.2,363.0,6000.0,"['Crime', 'Drama', 'Thriller']"
Go,8.344282,28451622.0,1999.3333333333333,98.0,7.0,198.0,6500000.0,"['Crime', 'Comedy', 'Thriller']"
Abre los ojos,8.842959,368234.0,1998.0,117.0,7.4,211.0,2900000.0,"['Drama', 'Thriller']"
eXistenZ,11.446138,2856712.0,1999.3333333333333,97.0,6.7,487.0,15000000.0,"['Action', 'Thriller', 'Science Fiction', 'Horror']"
Mildred Pierce,4.497049,5638000.0,1945.75,111.0,7.4,81.0,1453000.0,"['Crime', 'Drama']"
The Mummy,23.984065,415885488.0,1999.3333333333333,124.0,6.6,2796.0,80000000.0,"['Adventure', 'Action', 'Fantasy']"
The Castle,4.337545,861789.0,1997.3333333333333,85.0,7.4,69.0,786675.0,"['Drama', 'Comedy']"
ワンダフルライフ,2.916805,0.0,1998.75,118.0,7.3,49.0,11791.0,"['Fantasy', 'Drama']"
The Mummy,12.190044,0.0,1933.0,73.0,6.9,121.0,196000.0,['Horror']
Superman,15.460102,300218018.0,1979.0,143.0,6.9,1042.0,55000000.0,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']"
Dracula,7.503126,1012189.0,1931.1666666666667,72.0,7.2,254.0,355000.0,['Horror']
Frankenstein,8.091603,12000000.0,1931.9166666666667,71.0,7.3,295.0,291000.0,"['Drama', 'Horror', 'Science Fiction']"
The Rocky Horror Picture Show,8.699428,112892319.0,1975.6666666666667,100.0,7.4,703.0,1200000.0,"['Comedy', 'Horror', 'Music', 'Science Fiction']"
The War of the Worlds,5.609399,2000000.0,1953.6666666666667,85.0,6.8,172.0,2000000.0,"['Horror', 'Science Fiction', 'Thriller']"
Invasion of the Body Snatchers,6.135431,0.0,1956.1666666666667,80.0,7.3,277.0,417000.0,"['Horror', 'Science Fiction']"
Notting Hill,9.874043,363889678.0,1999.4166666666667,124.0,7.0,1309.0,42000000.0,"['Romance', 'Comedy', 'Drama']"
The Thirteenth Floor,9.356587,18564088.0,1999.3333333333333,100.0,6.8,381.0,16000000.0,"['Thriller', 'Science Fiction', 'Mystery']"
Limbo,1.969282,1997807.0,1999.5,126.0,7.0,17.0,8000000.0,"['Adventure', 'Drama', 'Thriller']"
The Red Violin,7.725843,9495408.0,1998.75,131.0,7.2,101.0,18000000.0,"['Drama', 'Thriller', 'Mystery', 'Music', 'Romance']"
Tarzan,12.453452,448000000.0,1999.5,88.0,7.1,1715.0,150000000.0,"['Adventure', 'Animation', 'Drama', 'Family']"
La leggenda del pianista sull'oceano,7.668214,0.0,1998.8333333333333,170.0,8.1,554.0,9000000.0,['Fantasy']
Lola rennt,7.765379,7267585.0,1998.6666666666667,81.0,7.2,672.0,1530000.0,"['Action', 'Drama', 'Thriller']"
Le Dîner de cons,6.122739,78599508.0,1998.3333333333333,80.0,7.7,408.0,12500000.0,['Comedy']
"South Park: Bigger, Longer & Uncut",11.818055,0.0,1999.5,81.0,7.1,916.0,21000000.0,"['Animation', 'Comedy', 'Music']"
Les Amants du Pont-Neuf,3.62449,0.0,1991.8333333333333,125.0,7.5,45.0,28000000.0,"['Drama', 'Romance']"
Arlington Road,8.605659,0.0,1999.25,117.0,7.0,246.0,21500000.0,"['Drama', 'Thriller', 'Mystery']"
Eyes Wide Shut,13.268484,162091208.0,1999.5833333333333,159.0,7.1,1266.0,65000000.0,"['Mystery', 'Drama']"
The Wood,4.414077,25059640.0,1999.5833333333333,106.0,7.1,34.0,6000000.0,"['Comedy', 'Drama', 'Romance']"
Ghostbusters,22.089729,295212467.0,1984.5,107.0,7.3,2431.0,30000000.0,"['Comedy', 'Fantasy']"
Trick,2.493289,2049595.0,1999.5833333333333,89.0,6.7,24.0,450000.0,"['Comedy', 'Romance']"
The Killing,10.223264,0.0,1956.4166666666667,85.0,7.7,290.0,320000.0,"['Drama', 'Action', 'Thriller', 'Crime']"
Spartacus,11.110376,60000000.0,1960.8333333333333,197.0,7.3,472.0,12000000.0,"['Action', 'Drama', 'History']"
Lolita,9.551293,9250000.0,1962.5,153.0,7.3,409.0,2000000.0,"['Drama', 'Romance']"
Barry Lyndon,14.003467,20000000.0,1976.0,184.0,7.7,521.0,11000000.0,"['Drama', 'Romance', 'War']"
The Color Purple,11.573562,146292009.0,1986.0,154.0,7.7,345.0,15000000.0,['Drama']
The Mission,11.241995,17218023.0,1986.75,126.0,7.1,295.0,24500000.0,"['Adventure', 'Drama', 'Action', 'History']"
Little Shop of Horrors,7.409179,38748395.0,1987.0,94.0,6.7,389.0,25000000.0,"['Horror', 'Comedy', 'Music']"
Radio Days,8.782912,0.0,1987.0833333333333,90.0,7.0,131.0,16000000.0,"['Comedy', 'Drama']"
The Iron Giant,15.441459,23159305.0,1999.6666666666667,86.0,7.6,1470.0,70000000.0,"['Adventure', 'Animation', 'Family', 'Fantasy', 'Science Fiction']"
The Sixth Sense,18.449169,672806292.0,1999.6666666666667,107.0,7.7,3223.0,40000000.0,"['Mystery', 'Thriller', 'Drama']"
The Thomas Crown Affair,10.961226,124305181.0,1999.6666666666667,113.0,6.7,349.0,48000000.0,"['Drama', 'Crime', 'Romance']"
The Thomas Crown Affair,9.444818,0.0,1968.5,102.0,6.9,95.0,4300000.0,"['Romance', 'Crime', 'Thriller', 'Drama']"
Detroit Rock City,6.074832,4217115.0,1999.6666666666667,95.0,6.7,102.0,6500000.0,"['Comedy', 'Music']"
The Pit and the Pendulum,4.392322,2000000.0,1961.6666666666667,80.0,6.9,67.0,200000.0,"['Fantasy', 'Horror', 'Drama']"
Airplane!,13.063203,83453539.0,1980.5833333333333,88.0,7.1,1104.0,3500000.0,['Comedy']
National Lampoon's Vacation,7.747432,61399552.0,1983.5833333333333,98.0,7.1,412.0,15000000.0,"['Comedy', 'Adventure', 'Romance']"
Big,9.562292,151668774.0,1988.5,104.0,6.9,1022.0,18000000.0,"['Fantasy', 'Drama', 'Comedy', 'Romance', 'Family']"
American Beauty,20.726578,356296601.0,1999.75,122.0,7.9,3438.0,15000000.0,['Drama']
Stop Making Sense,2.359569,4978922.0,1984.9166666666667,88.0,8.7,47.0,1200000.0,"['Documentary', 'Music']"
A Hard Day's Night,5.719266,12299668.0,1964.5833333333333,88.0,7.3,172.0,560000.0,"['Comedy', 'Music']"
The Buddy Holly Story,2.017413,14363400.0,1978.4166666666667,113.0,7.5,33.0,1200000.0,['Drama']
Fright Night,7.472509,24922237.0,1985.6666666666667,106.0,6.9,279.0,9000000.0,['Horror']
Deliverance,8.476681,46122355.0,1972.5833333333333,109.0,7.2,441.0,2000000.0,"['Drama', 'Adventure', 'Thriller']"
Excalibur,8.800455,34967437.0,1981.3333333333333,140.0,7.1,241.0,11000000.0,"['Fantasy', 'Adventure']"
龍兄虎弟,7.278549,0.0,1986.6666666666667,88.0,6.8,111.0,15000000.0,"['Adventure', 'Action', 'Comedy']"
Three Kings,12.287636,108000000.0,1999.75,114.0,6.6,709.0,75000000.0,"['Action', 'Adventure', 'Comedy']"
Boys Don't Cry,6.536006,11540607.0,1999.75,118.0,7.2,360.0,2000000.0,"['Crime', 'Drama']"
The Limey,7.807741,3193102.0,1999.4166666666667,89.0,6.6,110.0,10000000.0,"['Action', 'Crime', 'Drama', 'Mystery', 'Thriller']"
Total Recall,12.954444,261317921.0,1990.5,113.0,7.1,1745.0,65000000.0,"['Action', 'Adventure', 'Science Fiction']"
Ferris Bueller's Day Off,12.724645,70136369.0,1986.5,103.0,7.5,1340.0,6000000.0,['Comedy']
The Year of Living Dangerously,13.293569,1317657.0,1983.0,115.0,6.8,84.0,6000000.0,"['War', 'Drama', 'Romance']"
High Plains Drifter,9.91087,15700000.0,1973.3333333333333,105.0,7.4,284.0,5500000.0,[]
Hang 'em High,7.266576,6800000.0,1968.5833333333333,114.0,6.7,197.0,1800000.0,[]
Il conformista,9.931025,0.0,1970.8333333333333,107.0,7.6,129.0,750000.0,['Drama']
Reds,5.463216,40382659.0,1982.0,195.0,7.1,70.0,32000000.0,"['Drama', 'History']"
Sullivan's Travels,8.64244,0.0,1941.9166666666667,90.0,8.0,100.0,689665.0,"['Adventure', 'Comedy', 'Drama', 'Romance']"
Niagara,14.605464,8500000.0,1953.0833333333333,92.0,6.7,84.0,1250000.0,"['Crime', 'Drama', 'Thriller']"
The Dirty Dozen,15.640007,45300000.0,1967.5,150.0,7.5,309.0,5400000.0,"['Action', 'Adventure', 'War']"
Goldfinger,13.78884,124881062.0,1964.75,110.0,7.2,1005.0,2500000.0,"['Adventure', 'Action', 'Thriller']"
From Russia with Love,12.536729,78898765.0,1963.8333333333333,115.0,6.9,773.0,2000000.0,"['Action', 'Thriller', 'Adventure']"
Dr. No,19.931606,59600000.0,1962.8333333333333,110.0,6.9,953.0,950000.0,"['Adventure', 'Action', 'Thriller']"
Per un pugno di dollari,12.429704,14500000.0,1964.75,99.0,7.6,909.0,200000.0,[]
Hard Eight,7.04756,222559.0,1996.1666666666667,96.0,6.8,177.0,3000000.0,"['Drama', 'Thriller']"
Sparrows,0.445526,966878.0,1926.4166666666667,84.0,8.0,9.0,463455.0,['Drama']
Fight Club,63.869599,100853753.0,1999.8333333333333,139.0,8.3,9678.0,63000000.0,['Drama']
The Straight Story,14.580995,0.0,1999.8333333333333,112.0,7.7,315.0,10000000.0,['Drama']
Time Bandits,9.841623,42365581.0,1981.5833333333333,116.0,6.6,255.0,5000000.0,"['Family', 'Fantasy', 'Science Fiction', 'Adventure', 'Comedy']"
Fitzcarraldo,4.760938,0.0,1982.25,158.0,7.7,151.0,7362000.0,"['Action', 'Adventure', 'Drama']"
Crimes and Misdemeanors,6.645295,18254702.0,1989.8333333333333,104.0,7.4,201.0,19000000.0,"['Comedy', 'Drama']"
The Best Man,5.055141,34573780.0,1999.8333333333333,120.0,6.8,38.0,9000000.0,"['Drama', 'Comedy']"
Bringing Out the Dead,8.825864,0.0,1999.8333333333333,121.0,6.6,228.0,32000000.0,['Drama']
RoboCop,13.485583,53000000.0,1987.5833333333333,102.0,7.1,1494.0,13000000.0,"['Action', 'Thriller', 'Science Fiction']"
Who Framed Roger Rabbit,16.78596,329803958.0,1988.5,104.0,7.2,1466.0,70000000.0,"['Fantasy', 'Animation', 'Comedy', 'Crime', 'Family']"
Being John Malkovich,11.416319,22863596.0,1999.75,112.0,7.3,1124.0,13000000.0,"['Fantasy', 'Drama', 'Comedy']"
もののけ姫,17.166725,159375308.0,1997.5833333333333,134.0,8.2,2041.0,26500000.0,"['Adventure', 'Fantasy', 'Animation']"
Train de vie,3.040512,0.0,1998.75,103.0,7.4,48.0,154790.0,"['Drama', 'Comedy', 'War']"
The Insider,11.3569,60289912.0,1999.8333333333333,157.0,7.3,489.0,90000000.0,"['Drama', 'Thriller']"
Creepshow,10.434018,21028755.0,1982.9166666666667,120.0,6.7,228.0,8000000.0,"['Horror', 'Comedy', 'Fantasy']"
Re-Animator,9.867238,2023414.0,1985.8333333333333,86.0,7.0,263.0,900000.0,"['Science Fiction', 'Comedy', 'Horror']"
Drugstore Cowboy,8.026112,4729352.0,1989.75,100.0,7.0,117.0,2500000.0,"['Crime', 'Drama']"
Falling Down,10.175138,40903593.0,1993.1666666666667,113.0,7.2,837.0,25000000.0,"['Crime', 'Drama', 'Thriller']"
The General,8.002953,0.0,1927.0,79.0,8.0,240.0,750000.0,"['Action', 'Adventure', 'Comedy', 'Drama']"
My Best Girl,0.205671,1027757.0,1927.8333333333333,80.0,8.0,2.0,483103.0,"['Drama', 'Comedy', 'Romance']"
Spaceballs,9.10373,38119483.0,1987.5,96.0,6.7,924.0,22700000.0,"['Comedy', 'Science Fiction']"
Robin Hood,11.179855,32056467.0,1973.9166666666667,83.0,7.0,1155.0,15000000.0,"['Animation', 'Family']"
La Guerre du feu,8.341166,55260558.0,1982.0,100.0,7.2,111.0,12000000.0,"['Adventure', 'Drama']"
Little Big Man,8.186994,31559552.0,1971.0,139.0,7.5,128.0,15000000.0,"['Adventure', 'History']"
Trading Places,14.285052,90400000.0,1983.5,116.0,7.1,763.0,40600000.0,['Comedy']
Dogma,8.559088,30652890.0,1999.9166666666667,130.0,6.8,842.0,10000000.0,"['Fantasy', 'Comedy', 'Adventure']"
劇場版ポケットモンスター ミュウツーの逆襲,7.556826,163644662.0,1998.5833333333333,75.0,6.7,336.0,30000000.0,['Animation']
The Longest Day,10.770928,50100000.0,1962.75,178.0,7.3,237.0,10000000.0,"['Action', 'Drama', 'History', 'War']"
Tora! Tora! Tora!,7.262326,29548291.0,1970.0833333333333,144.0,6.9,150.0,25485000.0,"['History', 'Action', 'Drama', 'Adventure', 'War']"
Mujeres al borde de un ataque de nervios,5.470331,7179298.0,1988.25,88.0,7.6,149.0,700000.0,"['Comedy', 'Drama']"
The Verdict,9.596883,53977250.0,1983.0,129.0,7.4,132.0,16000000.0,['Drama']
Repulsion,6.825852,0.0,1965.5,105.0,7.5,218.0,300000.0,"['Drama', 'Horror', 'Thriller']"
Sleepy Hollow,11.072361,206071502.0,1999.9166666666667,105.0,6.9,1774.0,100000000.0,"['Drama', 'Fantasy', 'Thriller', 'Mystery']"
